"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeofFlightLine","Classification","ScanAngleRank","UserData","PointSourceID","gpstime","Range"
5673401.1370,3704853.1110,1515.8840,0,1,2,1,0,5,7,0,111,50772191.95724150,4488.7005
5673402.4510,3704853.1120,1457.6490,217,2,2,1,0,2,7,0,111,50772191.95724150,4546.9503
5673403.6190,3704850.8060,1512.0450,11,1,2,1,0,5,7,0,111,50772191.95725290,4492.5950
5673403.9790,3704850.8240,1496.9860,214,2,2,1,0,5,7,0,111,50772191.95725290,4507.6583
5673405.8650,3704848.6210,1518.5740,86,1,2,1,0,5,7,0,111,50772191.95726410,4486.1212
5673407.2460,3704848.5920,1459.3880,102,2,2,1,0,2,7,0,111,50772191.95726410,4545.3233
5673408.4110,3704846.3520,1512.6690,32,1,2,1,0,5,7,0,111,50772191.95727530,4492.0874
5673409.6280,3704846.3150,1460.5360,200,2,2,1,0,2,7,0,111,50772191.95727530,4544.2346
5673410.7240,3704844.1370,1515.4900,105,1,2,1,0,5,7,0,111,50772191.95728650,4489.3270
5673412.0410,3704844.0730,1461.1920,168,2,2,1,0,2,7,0,111,50772191.95728650,4543.6410
5673412.9060,3704841.9160,1523.9880,7,1,3,1,0,5,7,0,111,50772191.95729780,4480.8904
5673413.2020,3704841.8980,1511.5200,18,2,3,1,0,5,7,0,111,50772191.95729780,4493.3619
5673414.4230,3704841.7960,1462.0130,242,3,3,1,0,2,7,0,111,50772191.95729780,4542.8840
5673415.1840,3704839.7320,1526.4810,162,1,2,1,0,5,7,0,111,50772191.95730900,4478.4615
5673416.8030,3704839.5510,1463.0300,41,2,2,1,0,2,7,0,111,50772191.95730900,4541.9334
5673417.5970,3704837.4900,1524.8410,47,1,2,1,0,5,7,0,111,50772191.95732030,4480.1703
5673419.1830,3704837.3070,1464.4730,72,2,2,1,0,2,7,0,111,50772191.95732030,4540.5594
5673420.1410,3704835.2540,1517.8200,99,1,2,1,0,5,7,0,111,50772191.95733150,4487.2639
5673421.5640,3704835.0630,1465.2280,10,2,2,1,0,2,7,0,111,50772191.95733150,4539.8755
5673422.3890,3704833.0360,1523.4630,95,1,3,1,0,5,7,0,111,50772191.95734270,4481.6925
5673422.9850,3704832.9350,1501.1530,17,2,3,1,0,5,7,0,111,50772191.95734270,4504.0107
5673423.9440,3704832.8190,1466.6710,27,3,3,1,0,2,7,0,111,50772191.95734270,4538.5062
5673424.3940,3704826.5350,1531.1400,0,1,3,0,0,5,7,0,111,50772191.97351880,4474.1557
5673424.9900,3704826.4340,1510.2410,72,2,3,0,0,5,7,0,111,50772191.97351880,4495.0634
5673422.0480,3704828.7480,1530.1560,106,1,2,0,0,5,7,0,111,50772191.97353010,4475.0629
5673422.4790,3704828.6720,1515.1950,61,2,2,0,0,5,7,0,111,50772191.97353010,4490.0302
5673419.7350,3704830.9630,1528.7120,41,1,3,0,0,5,7,0,111,50772191.97354140,4476.4331
5673420.0680,3704830.8810,1515.9820,24,2,3,0,0,5,7,0,111,50772191.97354140,4489.1677
5673421.4590,3704830.6560,1465.2930,93,3,3,0,0,2,7,0,111,50772191.97354140,4539.8763
5673417.6870,3704833.1260,1517.0980,111,1,3,0,0,5,7,0,111,50772191.97355260,4487.9793
5673418.0510,3704833.0780,1504.1390,13,2,3,0,0,5,7,0,111,50772191.97355260,4500.9434
5673419.0780,3704832.9010,1464.2760,59,3,3,0,0,2,7,0,111,50772191.97355260,4540.8200
5673415.0780,3704835.3580,1526.1860,131,1,1,0,0,5,7,0,111,50772191.97356390,4478.8180
